,gen,infecor,infecting
399,636,621,628
400,637,326,374
401,639,14,741
402,639,443,215
403,639,980,420
404,640,942,711
405,641,452,648
406,646,190,435
407,646,190,507
408,646,382,475
409,646,798,301
410,647,980,205
411,647,980,70
412,649,720,124
413,653,557,473
414,653,843,809
415,658,4,873
416,659,130,138
417,659,219,464
418,660,219,92
419,660,326,822
420,660,843,510
421,660,862,331
422,664,219,738
423,664,577,884
424,665,532,47
425,666,540,985
426,667,577,26
427,668,12,405
428,668,407,818
429,668,730,733
430,669,4,338
431,669,699,606
432,674,190,618
433,674,452,362
434,674,546,204
435,674,844,996
436,675,443,175
437,675,577,139
438,675,767,54
439,676,219,77
440,676,546,95
441,677,844,706
442,678,532,754
443,678,659,898
444,678,843,290
445,679,340,988
446,679,720,244
447,681,659,209
448,682,712,548
449,683,98,376
450,683,577,888
451,685,379,42
452,686,712,257
453,688,382,687
454,689,712,719
455,690,20,64
456,693,105,284
457,693,717,958
458,694,130,892
459,695,507,370
460,696,659,584
461,697,326,32
462,697,605,761
463,701,809,877
464,703,2,28
465,703,221,526
466,704,757,713
467,706,65,576
468,706,694,172
469,707,950,819
470,708,427,335
471,708,435,881
472,709,124,745
473,709,659,144
474,709,942,396
475,712,70,663
476,717,1,849
477,717,475,50
478,719,475,842
479,722,475,360
480,722,822,24
481,723,632,799
482,723,757,788
483,724,175,201
484,724,436,231
485,725,265,459
486,727,538,183
487,728,577,195
488,728,648,880
489,730,507,256
490,731,92,690
491,731,548,636
492,731,648,236
493,732,535,170
494,732,942,658
495,734,712,899
496,736,326,856
497,736,888,474
498,739,427,59
499,739,464,292
500,739,980,292
501,742,475,5
502,744,4,864
503,745,257,213
504,745,985,49
505,746,227,678
506,746,420,75
507,746,507,729
508,747,340,69
509,749,95,669
510,751,950,271
511,754,25,424
512,755,844,640
513,757,26,569
514,759,950,300
515,760,26,614
516,760,370,882
517,760,822,665
518,761,538,724
519,762,92,821
520,762,888,672
521,764,95,492
522,764,362,346
523,767,257,496
524,768,822,544
525,770,257,504
526,771,370,31
527,778,888,697
528,780,888,240
529,781,95,423
530,781,819,243
531,782,92,72
532,782,475,62
533,784,648,490
534,786,856,753
535,788,988,419
536,789,26,716
537,790,292,125
538,792,788,696
539,793,427,486
540,794,64,983
541,797,729,800
542,800,757,629
543,802,507,487
544,802,996,131
545,805,636,119
546,806,183,770
547,808,257,775
548,808,690,399
549,809,507,900
550,810,474,349
551,810,474,836
552,810,648,600
553,816,374,357
554,819,822,145
555,820,26,408
556,820,788,531
557,821,420,364
558,821,888,805
559,826,658,854
560,829,92,114
561,829,788,541
562,830,507,857
563,831,32,312
564,831,569,46
565,832,761,625
566,833,672,418
567,835,172,334
568,835,821,725
569,838,256,398
570,840,496,286
571,842,125,789
572,842,658,499
573,843,672,566
574,843,888,410
575,844,819,790
576,846,614,100
577,849,183,521
578,852,31,868
579,853,72,103
580,856,490,237
581,856,690,6
582,857,614,483
583,858,5,317
584,859,614,727
585,860,300,157
586,864,72,683
587,870,672,852
588,872,31,710
589,873,761,333
590,874,300,206
591,876,300,794
592,877,201,249
593,878,62,451
594,881,821,369
595,882,531,764
596,882,690,390
597,884,24,591
598,884,724,416
599,885,900,453
600,886,625,829
601,886,663,572
602,886,775,571
603,888,864,579
604,889,569,80
605,890,125,160
606,890,672,806
607,892,658,914
608,893,62,79
609,896,531,489
610,899,300,200
611,900,75,447
612,903,788,199
613,904,62,633
614,905,418,30
615,910,483,232
616,912,398,891
617,912,868,670
618,915,157,404
619,916,800,466
620,918,145,549
621,919,145,151
622,920,852,328
623,921,410,810
624,921,569,63
625,921,672,810
626,922,775,967
627,922,857,313
628,923,100,22
629,923,100,222
630,925,725,378
631,928,521,698
632,934,625,465
633,935,6,751
634,935,62,660
635,936,46,701
636,939,399,896
637,939,541,330
638,940,398,746
639,943,727,568
640,944,531,229
641,945,240,67
642,945,629,444
643,948,62,883
644,949,410,133
645,952,857,74
646,953,696,61
647,954,789,581
648,956,31,666
649,956,418,324
650,956,629,242
651,958,727,769
652,958,857,88
653,961,80,19
654,961,145,959
655,961,753,409
656,964,31,121
657,964,100,913
658,964,408,305
659,965,46,411
660,968,200,772
661,969,206,543
662,969,489,776
663,971,390,545
664,971,490,403
665,971,857,322
666,972,22,966
667,972,157,108
668,973,670,352
669,976,857,311
670,979,775,971
671,982,114,39
672,985,868,624
673,987,418,239
674,988,670,742
675,990,30,714
676,991,22,502
677,992,670,827
678,993,157,41
679,995,286,718
680,998,378,122
681,1001,541,650
682,1005,157,783
683,1007,74,207
684,1009,364,412
685,1010,74,915
686,1010,312,83
687,1011,418,679
688,1012,404,94
689,1016,489,610
690,1017,200,813
691,1019,67,791
692,1021,806,613
693,1022,121,780
694,1023,483,45
695,1027,322,876
696,1028,852,897
697,1029,666,804
698,1030,666,760
699,1036,121,87
700,1036,545,154
701,1037,378,845
702,1037,913,111
703,1038,322,674
704,1038,324,765
705,1039,714,246
706,1040,121,402
707,1043,710,351
708,1043,852,859
709,1044,666,280
710,1045,41,774
711,1045,313,319
712,1047,896,887
713,1048,701,35
714,1050,666,29
715,1056,74,7
716,1058,624,529
717,1061,199,965
718,1062,239,78
719,1063,783,21
720,1065,242,587
721,1071,896,0
722,1073,108,449
723,1074,489,179
724,1077,876,839
725,1078,679,400
726,1080,883,187
727,1084,322,861
728,1085,122,622
729,1087,242,671
730,1088,313,34
731,1089,30,15
732,1089,765,736
733,1091,674,56
734,1094,701,524
735,1094,776,620
736,1096,207,570
737,1098,765,778
738,1099,39,612
739,1106,404,808
740,1109,701,112
741,1109,772,373
742,1111,322,653
743,1112,121,755
744,1114,324,779
745,1116,280,141
746,1116,351,141
747,1116,896,164
748,1118,39,512
749,1118,679,555
750,1119,319,471
751,1121,760,13
752,1122,108,40
753,1122,111,930
754,1122,402,734
755,1126,74,289
756,1126,324,289
757,1128,87,702
758,1128,624,814
759,1132,897,153
760,1135,41,365
761,1135,280,126
762,1137,915,321
763,1138,21,450
764,1139,887,639
765,1140,791,962
766,1141,0,684
767,1141,545,345
768,1145,765,872
769,1150,111,216
770,1150,859,441
771,1151,121,975
772,1152,0,815
773,1153,78,361
774,1153,154,511
775,1154,876,848
776,1157,774,846
777,1161,7,948
778,1163,7,960
779,1165,827,793
780,1168,239,146
781,1169,56,652
782,1170,653,561
783,1171,765,315
784,1173,736,394
785,1175,622,495
786,1175,783,348
787,1176,734,645
788,1178,207,241
789,1180,207,715
790,1182,876,556
791,1183,804,18
792,1184,56,534
793,1184,887,469
794,1186,0,283
795,1189,674,796
796,1191,778,837
797,1195,450,86
798,1195,779,27
799,1196,13,831
800,1196,736,797
801,1196,780,681
802,1199,587,731
803,1208,0,406
804,1232,56,826
805,1234,164,426
806,1237,289,48
807,1246,321,759
808,1248,622,841
809,1251,671,533
810,1255,289,890
811,1260,612,134
812,1265,153,998
813,1271,778,174
814,1281,684,342
815,1281,797,847
816,1300,27,649
817,1304,715,758
818,1317,645,261
819,1335,134,554
820,1354,826,191
821,1384,847,723
822,1470,758,500
823,1506,723,363
