Some messages have been moved to the Issues panel.
​ Fri Jan 22 2021 23:39:57 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7
​ 53I x:ageGp:fam 461:3:-1 by blue 879:6:-1 at gen246 Univ0 prob=0.663
​ 53I x:ageGp:fam 2:0:-1 by blue 52:1:-1 at gen247 Univ0 prob=0.905
​ 53I x:ageGp:fam 301:2:-1 by blue 52:1:-1 at gen247 Univ0 prob=0.258
​ 54I x:ageGp:fam 36:0:-1 by blue 260:2:-1 at gen248 Univ0 prob=0.041
​ 54I x:ageGp:fam 420:3:-1 by blue 504:3:-1 at gen248 Univ0 prob=0.789
​ 56I x:ageGp:fam 24:0:-1 by red 852:6:-1 at gen249 Univ0 prob=0.652
​ 56I x:ageGp:fam 49:1:-1 by blue 797:5:-1 at gen249 Univ0 prob=0.616
​ 60I x:ageGp:fam 822:6:-1 by blue 90:1:-1 at gen252 Univ0 prob=0.095
​ 60I x:ageGp:fam 572:4:-1 by red 986:9:-1 at gen252 Univ0 prob=0.308
​ 60I x:ageGp:fam 458:3:-1 by red 852:6:-1 at gen253 Univ0 prob=0.239
​ 63I x:ageGp:fam 832:6:-1 by blue 797:5:-1 at gen257 Univ0 prob=0.466
​ 63I x:ageGp:fam 172:2:-1 by blue 797:5:-1 at gen258 Univ0 prob=0.925
​ 64I x:ageGp:fam 349:2:-1 by blue 40:1:-1 at gen259 Univ0 prob=0.359
​ 64I x:ageGp:fam 649:4:-1 by red 511:3:-1 at gen259 Univ0 prob=0.656
​ 64I x:ageGp:fam 605:4:-1 by red 852:6:-1 at gen259 Univ0 prob=0.353
​ 64I x:ageGp:fam 865:6:-1 by red 653:4:-1 at gen259 Univ0 prob=0.951
​ 65I x:ageGp:fam 370:3:-1 by red 654:4:-1 at gen260 Univ0 prob=0.041
​ 70I x:ageGp:fam 885:6:-1 by blue 260:2:-1 at gen266 Univ0 prob=0.860
​ 70I x:ageGp:fam 316:2:-1 by red 110:1:-1 at gen267 Univ0 prob=0.290
​ 71I x:ageGp:fam 221:2:-1 by red 852:6:-1 at gen268 Univ0 prob=0.299
​ 71I x:ageGp:fam 911:7:-1 by red 653:4:-1 at gen268 Univ0 prob=0.850
​ 74I x:ageGp:fam 961:8:-1 by yellow 627:4:-1 at gen271 Univ0 prob=0.684
​ 74I x:ageGp:fam 20:0:-1 by blue 695:5:-1 at gen272 Univ0 prob=0.641
​ 75I x:ageGp:fam 13:0:-1 by red 524:3:-1 at gen273 Univ0 prob=0.567
​ 77I x:ageGp:fam 603:4:-1 by red 654:4:-1 at gen275 Univ0 prob=0.145
​ 77I x:ageGp:fam 498:3:-1 by blue 52:1:-1 at gen276 Univ0 prob=0.781
​ 77I x:ageGp:fam 509:3:-1 by blue 787:5:-1 at gen276 Univ0 prob=0.708
​ 78I x:ageGp:fam 422:3:-1 by blue 840:6:-1 at gen277 Univ0 prob=0.229
​ 80I x:ageGp:fam 44:1:-1 by blue 21:0:-1 at gen278 Univ0 prob=0.033
​ 80I x:ageGp:fam 750:5:-1 by blue 144:2:-1 at gen278 Univ0 prob=0.669
​ 80I x:ageGp:fam 228:2:-1 by blue 580:4:-1 at gen278 Univ0 prob=0.260
​ 81I x:ageGp:fam 450:3:-1 by blue 144:2:-1 at gen279 Univ0 prob=0.870
​ 84I x:ageGp:fam 209:2:-1 by red 511:3:-1 at gen280 Univ0 prob=0.454
​ 86I x:ageGp:fam 451:3:-1 by blue 144:2:-1 at gen282 Univ0 prob=0.759
​ 86I x:ageGp:fam 346:2:-1 by blue 787:5:-1 at gen283 Univ0 prob=0.766
​ 86I x:ageGp:fam 863:6:-1 by red 653:4:-1 at gen283 Univ0 prob=0.727
​ 87I x:ageGp:fam 637:4:-1 by blue 144:2:-1 at gen284 Univ0 prob=0.831
​ 89I x:ageGp:fam 611:4:-1 by blue 40:1:-1 at gen285 Univ0 prob=0.915
​ 89I x:ageGp:fam 122:1:-1 by blue 695:5:-1 at gen285 Univ0 prob=0.473
​ 89I x:ageGp:fam 390:3:-1 by red 653:4:-1 at gen285 Univ0 prob=0.130
​ 90I x:ageGp:fam 569:4:-1 by blue 580:4:-1 at gen286 Univ0 prob=0.555
​ 93I x:ageGp:fam 319:2:-1 by red 879:6:-1 at gen287 Univ0 prob=0.392
​ 93I x:ageGp:fam 631:4:-1 by red 654:4:-1 at gen287 Univ0 prob=0.835
​ 94I x:ageGp:fam 928:7:-1 by blue 52:1:-1 at gen288 Univ0 prob=0.253
​ 94I x:ageGp:fam 270:2:-1 by blue 436:3:-1 at gen288 Univ0 prob=0.742
​ 96I x:ageGp:fam 73:1:-1 by red 654:4:-1 at gen289 Univ0 prob=0.445
​ 98I x:ageGp:fam 141:2:-1 by blue 740:5:-1 at gen290 Univ0 prob=0.624
​ 98I x:ageGp:fam 304:2:-1 by blue 840:6:-1 at gen290 Univ0 prob=0.429
​ 98I x:ageGp:fam 721:5:-1 by blue 727:5:-1 at gen290 Univ0 prob=0.190
​ 99I x:ageGp:fam 77:1:-1 by blue 840:6:-1 at gen291 Univ0 prob=0.350
​ 99I x:ageGp:fam 548:4:-1 by blue 373:3:-1 at gen291 Univ0 prob=0.909
​ 99I x:ageGp:fam 385:3:-1 by red 879:6:-1 at gen291 Univ0 prob=0.515
​ 102I x:ageGp:fam 174:2:-1 by blue 580:4:-1 at gen292 Univ0 prob=0.500
​ 105I x:ageGp:fam 306:2:-1 by red 879:6:-1 at gen293 Univ0 prob=0.151
​ 105I x:ageGp:fam 756:5:-1 by red 879:6:-1 at gen293 Univ0 prob=0.563
​ 106I x:ageGp:fam 884:6:-1 by blue 797:5:-1 at gen294 Univ0 prob=0.936
​ 108I x:ageGp:fam 862:6:-1 by red 504:3:-1 at gen295 Univ0 prob=0.351
​ 109I x:ageGp:fam 542:4:-1 by blue 52:1:-1 at gen296 Univ0 prob=0.408
​ 109I x:ageGp:fam 328:2:-1 by red 260:2:-1 at gen296 Univ0 prob=0.941
​ 109I x:ageGp:fam 916:7:-1 by blue 384:3:-1 at gen296 Univ0 prob=0.739
​ 109I x:ageGp:fam 989:9:-1 by blue 408:3:-1 at gen296 Univ0 prob=0.074
​ 110I x:ageGp:fam 579:4:-1 by blue 139:2:-1 at gen297 Univ0 prob=0.625
​ 110I x:ageGp:fam 417:3:-1 by blue 373:3:-1 at gen297 Univ0 prob=0.297
​ 110I x:ageGp:fam 406:3:-1 by blue 580:4:-1 at gen297 Univ0 prob=0.395
​ 110I x:ageGp:fam 906:7:-1 by blue 408:3:-1 at gen297 Univ0 prob=0.699
​ 110I x:ageGp:fam 656:4:-1 by blue 627:4:-1 at gen297 Univ0 prob=0.469
​ 119I x:ageGp:fam 326:2:-1 by blue 111:1:-1 at gen299 Univ0 prob=0.954
​ 119I x:ageGp:fam 908:7:-1 by blue 165:2:-1 at gen299 Univ0 prob=0.493
​ 119I x:ageGp:fam 375:3:-1 by blue 740:5:-1 at gen299 Univ0 prob=0.997
​ 119I x:ageGp:fam 430:3:-1 by red 654:4:-1 at gen300 Univ0 prob=0.020
​ 122I x:ageGp:fam 554:4:-1 by blue 727:5:-1 at gen301 Univ0 prob=0.832
​ 123I x:ageGp:fam 220:2:-1 by blue 627:4:-1 at gen302 Univ0 prob=0.298
​ 123I x:ageGp:fam 598:4:-1 by blue 899:6:-1 at gen302 Univ0 prob=0.408
​ 124I x:ageGp:fam 103:1:-1 by blue 3:0:-1 at gen303 Univ0 prob=0.481
​ 124I x:ageGp:fam 100:1:-1 by blue 627:4:-1 at gen303 Univ0 prob=0.871
​ 124I x:ageGp:fam 700:5:-1 by blue 111:1:-1 at gen303 Univ0 prob=0.223
​ 124I x:ageGp:fam 744:5:-1 by red 653:4:-1 at gen303 Univ0 prob=0.293
​ 126I x:ageGp:fam 92:1:-1 by blue 327:2:-1 at gen304 Univ0 prob=0.603
​ 126I x:ageGp:fam 855:6:-1 by blue 201:2:-1 at gen304 Univ0 prob=0.859
​ 126I x:ageGp:fam 537:3:-1 by blue 561:4:-1 at gen304 Univ0 prob=0.868
​ 130I x:ageGp:fam 59:1:-1 by blue 899:6:-1 at gen305 Univ0 prob=0.066
​ 130I x:ageGp:fam 749:5:-1 by blue 580:4:-1 at gen305 Univ0 prob=0.136
​ 133I x:ageGp:fam 568:4:-1 by blue 144:2:-1 at gen306 Univ0 prob=0.376
​ 133I x:ageGp:fam 544:4:-1 by red 248:2:-1 at gen306 Univ0 prob=0.200
​ 133I x:ageGp:fam 593:4:-1 by red 384:3:-1 at gen306 Univ0 prob=0.065
​ 133I x:ageGp:fam 968:8:-1 by blue 727:5:-1 at gen306 Univ0 prob=0.369
​ 139I x:ageGp:fam 845:6:-1 by blue 232:2:-1 at gen308 Univ0 prob=0.480
​ 139I x:ageGp:fam 320:2:-1 by yellow 649:4:-1 at gen308 Univ0 prob=0.864
​ 139I x:ageGp:fam 479:3:-1 by red 695:5:-1 at gen308 Univ0 prob=0.815
​ 139I x:ageGp:fam 547:4:-1 by blue 727:5:-1 at gen308 Univ0 prob=0.165
​ 139I x:ageGp:fam 877:6:-1 by blue 139:2:-1 at gen309 Univ0 prob=0.710
​ 139I x:ageGp:fam 706:5:-1 by red 504:3:-1 at gen309 Univ0 prob=0.999
​ 139I x:ageGp:fam 581:4:-1 by blue 649:4:-1 at gen309 Univ0 prob=0.479
​ 139I x:ageGp:fam 589:4:-1 by blue 649:4:-1 at gen309 Univ0 prob=0.415
​ 143I x:ageGp:fam 426:3:-1 by red 695:5:-1 at gen310 Univ0 prob=0.795
​ 147I x:ageGp:fam 682:4:-1 by red 260:2:-1 at gen311 Univ0 prob=0.581
​ 147I x:ageGp:fam 978:8:-1 by blue 787:5:-1 at gen311 Univ0 prob=0.225
​ 150I x:ageGp:fam 33:0:-1 by red 384:3:-1 at gen313 Univ0 prob=0.660
​ 150I x:ageGp:fam 166:2:-1 by red 408:3:-1 at gen313 Univ0 prob=0.954
​ 150I x:ageGp:fam 938:7:-1 by blue 446:3:-1 at gen313 Univ0 prob=0.052
​ 150I x:ageGp:fam 522:3:-1 by blue 446:3:-1 at gen314 Univ0 prob=0.194
​ 150I x:ageGp:fam 851:6:-1 by blue 740:5:-1 at gen314 Univ0 prob=0.805
​ 153I x:ageGp:fam 109:1:-1 by red 654:4:-1 at gen315 Univ0 prob=0.677
​ 153I x:ageGp:fam 222:2:-1 by blue 649:4:-1 at gen315 Univ0 prob=0.867
​ 153I x:ageGp:fam 325:2:-1 by red 504:3:-1 at gen315 Univ0 prob=0.267
​ 153I x:ageGp:fam 667:4:-1 by blue 727:5:-1 at gen315 Univ0 prob=0.997
​ 155I x:ageGp:fam 926:7:-1 by red 40:1:-1 at gen316 Univ0 prob=0.599
​ 155I x:ageGp:fam 280:2:-1 by blue 787:5:-1 at gen316 Univ0 prob=0.224
​ 155I x:ageGp:fam 591:4:-1 by blue 446:3:-1 at gen316 Univ0 prob=0.514
​ 155I x:ageGp:fam 457:3:-1 by red 580:4:-1 at gen316 Univ0 prob=0.202
​ 155I x:ageGp:fam 882:6:-1 by red 524:3:-1 at gen316 Univ0 prob=0.770
​ 155I x:ageGp:fam 967:8:-1 by blue 842:6:-1 at gen316 Univ0 prob=0.093
​ 159I x:ageGp:fam 345:2:-1 by blue 911:7:-1 at gen317 Univ0 prob=0.737
​ 159I x:ageGp:fam 669:4:-1 by red 524:3:-1 at gen317 Univ0 prob=0.062
​ 165I x:ageGp:fam 223:2:-1 by blue 461:3:-1 at gen318 Univ0 prob=0.508
​ 165I x:ageGp:fam 904:7:-1 by blue 373:3:-1 at gen318 Univ0 prob=0.012
​ 165I x:ageGp:fam 395:3:-1 by blue 627:4:-1 at gen318 Univ0 prob=0.790
​ 167I x:ageGp:fam 526:3:-1 by blue 842:6:-1 at gen319 Univ0 prob=0.465
​ 170I x:ageGp:fam 792:5:-1 by blue 2:0:-1 at gen320 Univ0 prob=0.901
​ 170I x:ageGp:fam 869:6:-1 by blue 434:3:-1 at gen320 Univ0 prob=0.745
​ 171I x:ageGp:fam 67:1:-1 by red 408:3:-1 at gen321 Univ0 prob=0.792
​ 171I x:ageGp:fam 236:2:-1 by blue 340:2:-1 at gen321 Univ0 prob=0.294
​ 173I x:ageGp:fam 768:5:-1 by yellow 20:0:-1 at gen322 Univ0 prob=0.500
​ 175I x:ageGp:fam 613:4:-1 by red 144:2:-1 at gen323 Univ0 prob=0.657
​ 175I x:ageGp:fam 418:3:-1 by blue 870:6:-1 at gen323 Univ0 prob=0.303
​ 175I x:ageGp:fam 914:7:-1 by blue 488:3:-1 at gen323 Univ0 prob=0.261
​ 175I x:ageGp:fam 954:8:-1 by blue 627:4:-1 at gen323 Univ0 prob=0.369
​ 175I x:ageGp:fam 707:5:-1 by red 986:9:-1 at gen323 Univ0 prob=0.993
​ 176I x:ageGp:fam 985:9:-1 by blue 561:4:-1 at gen324 Univ0 prob=0.802
​ 176I x:ageGp:fam 732:5:-1 by red 879:6:-1 at gen324 Univ0 prob=0.320
​ 181I x:ageGp:fam 673:4:-1 by red 260:2:-1 at gen325 Univ0 prob=0.019
​ 181I x:ageGp:fam 794:5:-1 by red 852:6:-1 at gen325 Univ0 prob=0.988
​ 183I x:ageGp:fam 588:4:-1 by blue 740:5:-1 at gen326 Univ0 prob=0.366
​ 183I x:ageGp:fam 925:7:-1 by blue 727:5:-1 at gen326 Univ0 prob=0.913
​ 185I x:ageGp:fam 197:2:-1 by red 52:1:-1 at gen327 Univ0 prob=0.326
​ 185I x:ageGp:fam 435:3:-1 by red 111:1:-1 at gen327 Univ0 prob=0.639
​ 185I x:ageGp:fam 289:2:-1 by blue 870:6:-1 at gen327 Univ0 prob=0.021
​ 185I x:ageGp:fam 495:3:-1 by blue 885:6:-1 at gen327 Univ0 prob=0.350
​ 187I x:ageGp:fam 148:2:-1 by blue 698:5:-1 at gen328 Univ0 prob=0.866
​ 187I x:ageGp:fam 760:5:-1 by blue 870:6:-1 at gen328 Univ0 prob=0.267
