Some messages have been moved to the Issues panel.
​ Sat Jan 23 2021 00:20:26 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 9.9
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7.5
​ 52I x:ageGp:fam 230:2:-1 by blue 73:1:-1 at gen259 Univ0 prob=0.464
​ 53I x:ageGp:fam 611:4:-1 by red 617:4:-1 at gen260 Univ0 prob=0.404
​ 55I x:ageGp:fam 659:4:-1 by red 564:4:-1 at gen263 Univ0 prob=0.386
​ 55I x:ageGp:fam 707:5:-1 by red 564:4:-1 at gen263 Univ0 prob=0.734
​ 55I x:ageGp:fam 689:4:-1 by red 754:5:-1 at gen263 Univ0 prob=0.271
​ 58I x:ageGp:fam 247:2:-1 by blue 380:3:-1 at gen265 Univ0 prob=0.212
​ 59I x:ageGp:fam 804:5:-1 by blue 54:1:-1 at gen268 Univ0 prob=0.243
​ 59I x:ageGp:fam 853:6:-1 by red 617:4:-1 at gen268 Univ0 prob=0.232
​ 61I x:ageGp:fam 295:2:-1 by blue 882:6:-1 at gen271 Univ0 prob=0.508
​ 61I x:ageGp:fam 719:5:-1 by blue 993:9:-1 at gen271 Univ0 prob=0.748
​ 63I x:ageGp:fam 231:2:-1 by red 354:2:-1 at gen273 Univ0 prob=0.538
​ 63I x:ageGp:fam 24:0:-1 by blue 684:4:-1 at gen274 Univ0 prob=0.764
​ 65I x:ageGp:fam 437:3:-1 by blue 882:6:-1 at gen276 Univ0 prob=0.083
​ 65I x:ageGp:fam 214:2:-1 by blue 54:1:-1 at gen277 Univ0 prob=0.903
​ 67I x:ageGp:fam 484:3:-1 by red 293:2:-1 at gen279 Univ0 prob=0.361
​ 67I x:ageGp:fam 392:3:-1 by red 993:9:-1 at gen279 Univ0 prob=0.905
​ 67I x:ageGp:fam 921:7:-1 by red 901:6:-1 at gen279 Univ0 prob=0.060
​ 67I x:ageGp:fam 390:3:-1 by blue 257:2:-1 at gen280 Univ0 prob=0.594
​ 67I x:ageGp:fam 321:2:-1 by red 564:4:-1 at gen280 Univ0 prob=0.589
​ 67I x:ageGp:fam 404:3:-1 by red 993:9:-1 at gen280 Univ0 prob=0.872
​ 73I x:ageGp:fam 137:2:-1 by blue 735:5:-1 at gen282 Univ0 prob=0.391
​ 73I x:ageGp:fam 733:5:-1 by red 481:3:-1 at gen282 Univ0 prob=0.891
​ 73I x:ageGp:fam 999:9:-1 by red 754:5:-1 at gen282 Univ0 prob=0.199
​ 73I x:ageGp:fam 897:6:-1 by blue 882:6:-1 at gen282 Univ0 prob=0.827
​ 73I x:ageGp:fam 434:3:-1 by red 380:3:-1 at gen283 Univ0 prob=0.230
​ 73I x:ageGp:fam 778:5:-1 by blue 882:6:-1 at gen283 Univ0 prob=0.651
​ 77I x:ageGp:fam 519:3:-1 by blue 172:2:-1 at gen284 Univ0 prob=0.229
​ 77I x:ageGp:fam 186:2:-1 by red 293:2:-1 at gen284 Univ0 prob=0.149
​ 77I x:ageGp:fam 471:3:-1 by blue 684:4:-1 at gen284 Univ0 prob=0.121
​ 79I x:ageGp:fam 43:1:-1 by red 564:4:-1 at gen285 Univ0 prob=0.878
​ 79I x:ageGp:fam 913:7:-1 by blue 277:2:-1 at gen285 Univ0 prob=0.597
​ 82I x:ageGp:fam 344:2:-1 by blue 172:2:-1 at gen286 Univ0 prob=0.821
