​ Wed Jan 20 2021 14:32:39 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.7
​ new Mingle Factor = 7
​ 49I i:ageGp:fam 799:5:-1 by green 985:9:-1 at gen161 Univ0 prob=0.232
​ 55I j:ageGp:fam 198:2:-1 by blue 161:2:-1 at gen163 Univ0 prob=0.647
​ 56I j:ageGp:fam 917:7:-1 by blue 161:2:-1 at gen166 Univ0 prob=0.794
​ 56I j:ageGp:fam 698:5:-1 by red 184:2:-1 at gen167 Univ0 prob=0.771
​ 56I j:ageGp:fam 744:5:-1 by yellow 291:2:-1 at gen167 Univ0 prob=0.862
​ 56I j:ageGp:fam 777:5:-1 by blue 456:3:-1 at gen167 Univ0 prob=0.585
​ 57I i:ageGp:fam 287:2:-1 by yellow 622:4:-1 at gen168 Univ0 prob=0.677
​ 57I j:ageGp:fam 580:4:-1 by blue 405:3:-1 at gen168 Univ0 prob=0.820
​ 57I j:ageGp:fam 755:5:-1 by blue 405:3:-1 at gen168 Univ0 prob=0.736
​ 57I j:ageGp:fam 946:7:-1 by blue 456:3:-1 at gen168 Univ0 prob=0.612
​ 64I i:ageGp:fam 66:1:-1 by red 184:2:-1 at gen170 Univ0 prob=0.644
​ 64I j:ageGp:fam 576:4:-1 by yellow 205:2:-1 at gen170 Univ0 prob=0.306
​ 64I i:ageGp:fam 470:3:-1 by yellow 917:7:-1 at gen171 Univ0 prob=0.264
​ 66I j:ageGp:fam 858:6:-1 by blue 528:3:-1 at gen172 Univ0 prob=0.938
​ 67I j:ageGp:fam 294:2:-1 by yellow 66:1:-1 at gen173 Univ0 prob=0.518
​ 67I j:ageGp:fam 697:5:-1 by yellow 66:1:-1 at gen173 Univ0 prob=0.594
​ 67I i:ageGp:fam 126:1:-1 by red 496:3:-1 at gen173 Univ0 prob=0.204
​ 67I i:ageGp:fam 331:2:-1 by blue 586:4:-1 at gen173 Univ0 prob=0.478
​ 67I i:ageGp:fam 571:4:-1 by blue 586:4:-1 at gen173 Univ0 prob=0.658
​ 68I i:ageGp:fam 500:3:-1 by red 832:6:-1 at gen174 Univ0 prob=0.000
​ 73I j:ageGp:fam 359:3:-1 by blue 326:2:-1 at gen175 Univ0 prob=0.446
​ 74I i:ageGp:fam 154:2:-1 by blue 812:5:-1 at gen176 Univ0 prob=0.374
​ 74I i:ageGp:fam 212:2:-1 by red 403:3:-1 at gen176 Univ0 prob=0.100
​ 74I j:ageGp:fam 895:6:-1 by green 212:2:-1 at gen176 Univ0 prob=0.734
​ 74I j:ageGp:fam 895:6:-1 by red 403:3:-1 at gen176 Univ0 prob=0.243
​ 74I i:ageGp:fam 603:4:-1 by blue 686:4:-1 at gen176 Univ0 prob=0.639
​ 75I i:ageGp:fam 248:2:-1 by blue 456:3:-1 at gen177 Univ0 prob=0.418
​ 75I i:ageGp:fam 402:3:-1 by red 739:5:-1 at gen177 Univ0 prob=0.962
​ 79I j:ageGp:fam 638:4:-1 by yellow 359:3:-1 at gen178 Univ0 prob=0.326
​ 81I j:ageGp:fam 703:5:-1 by red 184:2:-1 at gen179 Univ0 prob=0.452
​ 81I j:ageGp:fam 665:4:-1 by blue 400:3:-1 at gen179 Univ0 prob=0.332
​ 81I i:ageGp:fam 506:3:-1 by blue 712:5:-1 at gen179 Univ0 prob=0.332
​ 82I i:ageGp:fam 320:2:-1 by blue 795:5:-1 at gen180 Univ0 prob=0.186
​ 85I j:ageGp:fam 167:2:-1 by blue 161:2:-1 at gen181 Univ0 prob=0.238
​ 85I j:ageGp:fam 876:6:-1 by blue 497:3:-1 at gen181 Univ0 prob=0.091
​ 88I i:ageGp:fam 651:4:-1 by red 739:5:-1 at gen183 Univ0 prob=0.128
​ 88I j:ageGp:fam 365:3:-1 by red 184:2:-1 at gen184 Univ0 prob=0.113
